Postal Code,Longitude,Latitude
1007 KM,4.8980264,52.3763021
1007 MB,4.8980264,52.3763021
1007 MC,4.9782765,52.3168579
1007 NA,4.914231749531422,52.37233395
1007 NB,4.9068549,52.3412425
1007 NC,4.9037958,52.3494315
1007 RB,4.8928054,52.3531454
1007 RE,4.8965948,52.3660041
1007 VA,4.8986423,52.3749519
1008 AA,4.827809045178547,52.349655350000006
1008 AB,4.8106503,52.3459667
1008 AC,4.8993281,52.3667161
1008 AD,4.946132567039667,52.3673545
1008 BA,4.892514790930079,52.37324315
1008 BB,4.9275303,52.3570043
1008 BC,4.8581952,52.4053062
1008 BE,4.9243165,52.3905375
1008 BG,4.914231749531422,52.37233395
1008 BH,4.976728373473207,52.36506565
1008 CA,4.991136524874124,52.297769450000004
1008 DE,4.932138698513164,52.3988783
1008 DG,4.8060765,52.3589369
1008 EA,4.7848326,52.3925541
1008 EB,4.8980264,52.3763021
1009 AA,4.827809045178547,52.349655350000006
1009 AK,4.865414,52.365276
1009 AM,4.914231749531422,52.37233395
1009 DC,4.8978868,52.3751005
1009 EX,4.9259517,52.3915147
1011 AB,4.8106503,52.3459667
1011 AC,4.8645981,52.3954119
1011 AD,4.946132567039667,52.3673545
1011 AE,4.914231749531422,52.37233395
1011 AG,4.837311,52.3780928
1011 AH,4.9023475,52.3529932
1011 AK,4.865414,52.365276
1011 AL,4.90358285,52.368728024999996
1011 AM,4.914231749531422,52.37233395
1011 AN,4.90358285,52.368728024999996
1011 AR,4.8927669,52.368404
1011 AS,4.8802689,52.3415463
1011 AT,4.8673224,52.3864375
1011 AV,4.90358285,52.368728024999996
1011 AZ,4.8862188,52.3372479
1011 BA,4.892514790930079,52.37324315
1011 BB,4.9275303,52.3570043
1011 BC,4.8581952,52.4053062
1011 BD,4.90358285,52.368728024999996
1011 BG,4.90358285,52.368728024999996
1011 BH,4.976728373473207,52.36506565
1011 BK,4.8980264,52.3763021
1011 BL,4.8604693,52.3748304
1011 BN,4.8980264,52.3763021
1011 BR,4.90358285,52.368728024999996
1011 BS,4.839056408306853,52.3489619
1011 BV,4.8366722,52.3445229
1011 BZ,4.8980264,52.3763021
1011 CA,4.991136524874124,52.297769450000004
1011 CC,4.9063152,52.3533479
1011 CD,4.8980264,52.3763021
1011 CE,4.90358285,52.368728024999996
1011 CH,4.90358285,52.368728024999996
1011 CJ,4.8980264,52.3763021
1011 CL,4.914231749531422,52.37233395
1011 CR,4.90358285,52.368728024999996
1011 CS,4.87500322056877,52.361078250000006
1011 CT,4.90358285,52.368728024999996
1011 CV,4.90358285,52.368728024999996
1011 DC,4.8978868,52.3751005
1011 DD,4.8980264,52.3763021
1011 DG,4.8060765,52.3589369
1011 DJ,4.9259561,52.3859591
1011 DK,4.8903403,52.4132247
1011 EA,4.7848326,52.3925541
1011 EB,4.8980264,52.3763021
1011 ED,4.9885275,52.2928342
1011 EE,4.8561703,52.3533507
1011 EG,4.9451675,52.343082
1011 EH,4.914231749531422,52.37233395
1011 EL,4.90358285,52.368728024999996
1011 EN,4.90358285,52.368728024999996
1011 ER,4.90358285,52.368728024999996
1011 ES,4.8981009,52.3646557
1011 EW,4.8561703,52.3533507
1011 EX,4.9259517,52.3915147
1011 GA,4.90358285,52.368728024999996
1011 GC,4.8980264,52.3763021
1011 GG,4.8980264,52.3763021
1011 GH,4.8980264,52.3763021
1011 GN,4.90358285,52.368728024999996
1011 GP,4.8980264,52.3763021
1011 GR,4.90358285,52.368728024999996
1011 GS,4.8845236,52.3806598
1011 GT,4.90358285,52.368728024999996
1011 HA,4.90358285,52.368728024999996
1011 HB,4.8980264,52.3763021
1011 HC,4.953856590732644,52.3453644
1011 HD,4.9758423,52.3218166
1011 HE,4.90358285,52.368728024999996
1011 HG,4.9300987,52.3278794
1011 HH,4.8980264,52.3763021
1011 HL,4.944432,52.3435822
1011 HW,4.8422654180859075,52.4064354
1011 JA,4.991136524874124,52.297769450000004
1011 JB,4.8980264,52.3763021
1011 JB,4.8980264,52.3763021
1011 JD,4.8838996,52.3648455
1011 JE,4.8992104,52.3620854
1011 JH,4.9711011,52.3593096
1011 JJ,4.8914829,52.4130207
1011 JK,4.8953321,52.3759543
1011 JR,4.90358285,52.368728024999996
1011 KA,4.876817,52.3629744
1011 KD,4.8980264,52.3763021
1011 KH,4.8980264,52.3763021
